z[m]	p[mb]	tls[K/s]	q[kg/kg/s]	u[m/s]	v[m/s]	w[m/s]
7566.843787 -999.000000 -1.152e-05 -5.938e-09 -6.058830 -4.221860 0.069217
8050.114747 -999.000000 -1.484e-05 -4.289e-09 -5.564170 -4.218580 0.073957
8560.097797 -999.000000 -1.612e-05 -2.824e-09 -4.889240 -4.081120 0.071729
9099.863147 -999.000000 -1.380e-05 -2.155e-09 -3.897130 -3.716440 0.061144
9672.993231 -999.000000 -1.114e-05 -1.081e-09 -2.903840 -3.135720 0.042811
10283.990298 -999.000000 -1.024e-05 -2.574e-10 -2.188840 -2.278750 0.019991
10938.174902 -999.000000 -1.040e-05 2.194e-10 -1.493140 -1.209870 -0.001494
11643.227257 -999.000000 -5.471e-06 1.542e-10 -1.066870 0.224130 -0.015202
12409.482387 -999.000000 9.537e-08 2.118e-10 -1.553300 2.251210 -0.018837
13251.879074 -999.000000 -6.817e-07 5.326e-11 -1.841940 3.337220 -0.014812
14192.221128 -999.000000 -1.620e-06 -2.101e-11 1.740840 3.218810 -0.007479
15267.043442 -999.000000 5.057e-06 -4.982e-13 3.422210 2.917760 -0.001863
16551.569319 -999.000000 8.176e-06 1.083e-11 5.836490 1.878190 -0.000002
18194.711823 -999.000000 -0.000e+00 -0.000e+00 4.767650 1.338630 -0.000002
 278.104167,	40.000000,	1010.000000,	day,	nlevels,	pres0
72.521744 -999.000000 -3.148e-07 -2.257e-10 -1.099810 0.177694 0.000000
82.521744 -999.000000 -3.148e-07 -2.257e-10 -1.099810 0.177694 0.000000
92.521744 -999.000000 -3.148e-07 -2.257e-10 -1.099810 0.177694 0.001085
314.707606 -999.000000 2.471e-06 -3.682e-10 -2.156200 -0.064821 0.001525
541.915747 -999.000000 1.738e-06 -3.693e-09 -3.096100 -0.835960 0.001204
774.336689 -999.000000 8.344e-06 -1.436e-08 -3.459490 -2.298980 0.000253
1012.189063 -999.000000 1.755e-05 -2.981e-08 -4.240770 -3.284110 -0.000853
1255.766460 -999.000000 1.728e-05 -2.783e-08 -5.481770 -3.352190 -0.001355
1505.078249 -999.000000 1.165e-05 -1.598e-08 -6.662630 -3.230250 -0.000912
1760.633531 -999.000000 1.681e-06 -7.129e-09 -7.235260 -3.307550 0.000172
2022.838335 -999.000000 -5.172e-06 -4.004e-09 -7.265480 -3.491790 0.001369
2291.901923 -999.000000 -9.065e-06 -2.269e-09 -7.014530 -3.698160 0.002260
2568.336516 -999.000000 -1.133e-05 -1.064e-09 -6.700370 -3.965200 0.002473
2852.345131 -999.000000 -9.750e-06 -5.079e-09 -6.406400 -4.251110 0.001698
3144.533689 -999.000000 -7.581e-06 -7.401e-09 -6.139610 -4.489620 -0.000073
3445.123944 -999.000000 -2.878e-06 -8.177e-09 -6.034310 -4.386970 -0.002523
3754.712449 -999.000000 1.814e-06 -7.539e-09 -5.990820 -4.218580 -0.004951
4073.926988 -999.000000 7.210e-06 -3.783e-09 -6.170190 -3.952100 -0.006286
4403.679568 -999.000000 8.889e-06 -5.625e-10 -6.349940 -3.720830 -0.005620
4744.997755 -999.000000 5.089e-06 -1.486e-09 -6.349630 -3.750340 -0.002396
5099.215204 -999.000000 3.227e-07 -3.386e-09 -6.317120 -3.836310 0.003353
5467.656195 -999.000000 -1.059e-06 -7.586e-09 -6.308870 -3.935920 0.010968
5851.139037 -999.000000 -1.366e-06 -1.096e-08 -6.345110 -3.991230 0.020021
6251.000504 -999.000000 -1.572e-06 -1.462e-08 -6.514240 -3.870780 0.030399
6668.771017 -999.000000 -2.485e-06 -1.792e-08 -6.613320 -3.785810 0.041662
7106.296451 -999.000000 -6.282e-06 -1.210e-08 -6.369110 -3.973420 0.052680
7565.310243 -999.000000 -1.054e-05 -6.755e-09 -5.960870 -4.198750 0.061626
8048.581203 -999.000000 -1.316e-05 -4.482e-09 -5.397910 -4.291800 0.065747
8558.256607 -999.000000 -1.376e-05 -2.668e-09 -4.651970 -4.230340 0.062554
9097.918888 -999.000000 -1.174e-05 -2.372e-09 -3.586980 -3.893870 0.050329
9670.945903 -999.000000 -9.933e-06 -1.478e-09 -2.521850 -3.310370 0.029989
10281.738393 -999.000000 -9.403e-06 -4.370e-10 -1.738790 -2.424320 0.005683
10935.823051 -999.000000 -9.327e-06 1.089e-10 -1.018890 -1.329940 -0.015977
11640.667706 -999.000000 -4.109e-06 1.012e-10 -0.752241 0.178858 -0.028390
12406.819767 -999.000000 3.169e-07 2.087e-10 -1.520820 2.261500 -0.029727
13249.114947 -999.000000 -2.405e-06 4.948e-11 -1.738630 3.147900 -0.022852
14189.763085 -999.000000 -1.431e-06 -2.066e-11 2.013650 2.928840 -0.012235
15264.996114 -999.000000 5.819e-06 -2.513e-12 3.591840 2.652280 -0.003445
16550.240352 -999.000000 7.685e-06 1.371e-11 5.806860 1.788440 0.000002
18194.302670 -999.000000 -0.000e+00 -0.000e+00 4.708310 1.155890 0.000002
 278.125000,	40.000000,	1010.000000,	day,	nlevels,	pres0
73.646134 -999.000000 1.225e-07 1.610e-10 -1.068320 0.238458 0.000000
83.646134 -999.000000 1.225e-07 1.610e-10 -1.068320 0.238458 0.000000
93.646134 -999.000000 1.225e-07 1.610e-10 -1.068320 0.238458 0.000927
315.938189 -999.000000 2.407e-06 -8.905e-10 -2.150220 -0.021983 0.001196
543.040138 -999.000000 2.503e-06 -5.488e-09 -3.056060 -0.807881 0.000651
775.464203 -999.000000 9.936e-06 -1.687e-08 -3.361350 -2.255060 -0.000471
1013.313454 -999.000000 1.805e-05 -3.019e-08 -4.178130 -3.171130 -0.001532
1256.687835 -999.000000 1.751e-05 -2.675e-08 -5.486140 -3.142290 -0.001762
1505.999625 -999.000000 1.326e-05 -1.914e-08 -6.746040 -3.017410 -0.000912
1761.451838 -999.000000 2.916e-06 -1.243e-08 -7.339810 -3.133300 0.000624
2023.656642 -999.000000 -4.872e-06 -1.010e-08 -7.369240 -3.327630 0.002276
2292.620283 -999.000000 -9.293e-06 -9.061e-09 -7.104910 -3.525060 0.003571
2568.948685 -999.000000 -1.303e-05 -6.838e-09 -6.791620 -3.792390 0.004073
2852.854230 -999.000000 -1.286e-05 -7.897e-09 -6.523850 -4.063100 0.003460
3144.842896 -999.000000 -1.178e-05 -7.518e-09 -6.276090 -4.283540 0.001773
3445.326959 -999.000000 -6.354e-06 -8.845e-09 -6.121490 -4.156290 -0.000597
3754.712449 -999.000000 -9.311e-07 -8.627e-09 -6.028940 -3.964040 -0.002971
4073.823919 -999.000000 5.541e-06 -4.125e-09 -6.218220 -3.682150 -0.004406
4403.373483 -999.000000 7.450e-06 -2.709e-10 -6.425150 -3.435060 -0.004086
4744.488656 -999.000000 2.116e-06 -2.881e-10 -6.487150 -3.440200 -0.001475
5098.599912 -999.000000 -3.830e-06 -1.130e-09 -6.503200 -3.506450 0.003422
5466.834765 -999.000000 -5.169e-06 -5.768e-09 -6.451700 -3.615230 0.010041
5850.220784 -999.000000 -5.045e-06 -9.413e-09 -6.430870 -3.690680 0.018072
6249.979182 -999.000000 -4.080e-06 -1.387e-08 -6.572380 -3.605450 0.027548
6667.646626 -999.000000 -3.410e-06 -1.814e-08 -6.643410 -3.571850 0.038132
7104.962799 -999.000000 -6.620e-06 -1.298e-08 -6.343370 -3.849130 0.048761
7563.876645 -999.000000 -1.057e-05 -8.002e-09 -5.869900 -4.174770 0.057435
8046.841521 -999.000000 -1.253e-05 -5.055e-09 -5.237160 -4.364860 0.061220
8556.515363 -999.000000 -1.263e-05 -2.816e-09 -4.418940 -4.379840 0.057151
9095.974629 -999.000000 -1.116e-05 -2.795e-09 -3.279490 -4.072340 0.043378
9668.898575 -999.000000 -1.022e-05 -2.001e-09 -2.141180 -3.486770 0.021078
10279.587996 -999.000000 -9.688e-06 -7.812e-10 -1.289260 -2.572100 -0.004709
10933.365008 -999.000000 -9.044e-06 -1.462e-10 -0.544551 -1.452490 -0.026577
11638.008209 -999.000000 -3.185e-06 -3.406e-12 -0.437415 0.131938 -0.037836
12404.055640 -999.000000 1.786e-07 1.732e-10 -1.488480 2.272210 -0.037248
13246.350819 -999.000000 -4.349e-06 5.267e-11 -1.635940 2.959990 -0.028347
14187.206658 -999.000000 -1.485e-06 -2.240e-11 2.286150 2.639170 -0.015671
15262.948786 -999.000000 6.254e-06 -5.390e-12 3.761430 2.386420 -0.004693
16548.908261 -999.000000 7.130e-06 1.188e-11 5.777240 1.698670 0.000000
18193.893517 -999.000000 -0.000e+00 -0.000e+00 4.648980 0.973158 0.000000
 278.145833,	40.000000,	1010.000000,	day,	nlevels,	pres0
72.006398 -999.000000 -2.084e-08 1.539e-10 -0.898890 0.171941 0.000000
82.006398 -999.000000 -2.084e-08 1.539e-10 -0.898890 0.171941 0.000000
92.006398 -999.000000 -2.084e-08 1.539e-10 -0.898890 0.171941 0.000714
314.195384 -999.000000 2.391e-06 -1.044e-09 -1.965040 -0.088410 0.000714
541.300456 -999.000000 2.942e-06 -6.518e-09 -2.844740 -0.870912 -0.000168
773.621452 -999.000000 1.045e-05 -1.792e-08 -3.147290 -2.295420 -0.001543
1011.367633 -999.000000 1.690e-05 -2.817e-08 -4.053910 -3.104120 -0.002624
1254.642069 -999.000000 1.660e-05 -2.459e-08 -5.481420 -3.019490 -0.002669
1503.953859 -999.000000 1.169e-05 -2.041e-08 -6.808100 -2.936190 -0.001558
1759.406071 -999.000000 6.994e-07 -1.515e-08 -7.401560 -3.093180 0.000206
2021.507806 -999.000000 -7.574e-06 -1.340e-08 -7.424210 -3.302020 0.002006
2290.368379 -999.000000 -1.247e-05 -1.266e-08 -7.167650 -3.496690 0.003334
2566.596834 -999.000000 -1.582e-05 -9.370e-09 -6.862730 -3.751110 0.003768
2850.499256 -999.000000 -1.531e-05 -7.951e-09 -6.581350 -3.987120 0.003045
3142.387977 -999.000000 -1.379e-05 -5.681e-09 -6.313580 -4.170480 0.001247
3442.665901 -999.000000 -7.205e-06 -9.026e-09 -6.114410 -4.006150 -0.001233
3752.054514 -999.000000 -1.170e-06 -1.038e-08 -5.975490 -3.780090 -0.003760
4070.959846 -999.000000 4.491e-06 -5.509e-09 -6.129720 -3.482570 -0.005474
4400.406341 -999.000000 5.880e-06 -1.623e-09 -6.307280 -3.222490 -0.005589
4741.624583 -999.000000 -4.324e-07 -4.478e-10 -6.356810 -3.212290 -0.003519
5095.632770 -999.000000 -7.160e-06 -1.170e-10 -6.369890 -3.254570 0.000765
5463.870746 -999.000000 -8.107e-06 -4.909e-09 -6.338870 -3.305870 0.006733
